"gp_name";"gp_url";"gp_winner";"gp_team";"gp_laps"
"'Bahrain'";"'https://www.formula1.com/en/results.html/2022/races/1124/bahrain/race-result.html'";"'Charles Leclerc LEC'";"'Ferrari'";57
"'Saudi Arabia'";"'https://www.formula1.com/en/results.html/2022/races/1125/saudi-arabia/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";50
"'Australia'";"'https://www.formula1.com/en/results.html/2022/races/1108/australia/race-result.html'";"'Charles Leclerc LEC'";"'Ferrari'";58
"'Emilia Romagna'";"'https://www.formula1.com/en/results.html/2022/races/1109/italy/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";63
"'Miami'";"'https://www.formula1.com/en/results.html/2022/races/1110/miami/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";57
"'Spain'";"'https://www.formula1.com/en/results.html/2022/races/1111/spain/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";66
"'Monaco'";"'https://www.formula1.com/en/results.html/2022/races/1112/monaco/race-result.html'";"'Sergio Perez PER'";"'Red Bull Racing RBPT'";64
"'Azerbaijan'";"'https://www.formula1.com/en/results.html/2022/races/1126/azerbaijan/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";51
"'Canada'";"'https://www.formula1.com/en/results.html/2022/races/1113/canada/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";70
"'Great Britain'";"'https://www.formula1.com/en/results.html/2022/races/1114/great-britain/race-result.html'";"'Carlos Sainz SAI'";"'Ferrari'";52
"'Austria'";"'https://www.formula1.com/en/results.html/2022/races/1115/austria/race-result.html'";"'Charles Leclerc LEC'";"'Ferrari'";71
"'France'";"'https://www.formula1.com/en/results.html/2022/races/1116/france/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";53
"'Hungary'";"'https://www.formula1.com/en/results.html/2022/races/1117/hungary/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";70
"'Belgium'";"'https://www.formula1.com/en/results.html/2022/races/1118/belgium/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";44
"'Netherlands'";"'https://www.formula1.com/en/results.html/2022/races/1119/netherlands/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";72
"'Italy'";"'https://www.formula1.com/en/results.html/2022/races/1120/italy/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";53
"'Singapore'";"'https://www.formula1.com/en/results.html/2022/races/1133/singapore/race-result.html'";"'Sergio Perez PER'";"'Red Bull Racing RBPT'";59
"'Japan'";"'https://www.formula1.com/en/results.html/2022/races/1134/japan/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";28
"'United States'";"'https://www.formula1.com/en/results.html/2022/races/1135/united-states/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";56
"'Mexico'";"'https://www.formula1.com/en/results.html/2022/races/1136/mexico/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";71
"'Brazil'";"'https://www.formula1.com/en/results.html/2022/races/1137/brazil/race-result.html'";"'George Russell RUS'";"'Mercedes'";71
"'Abu Dhabi'";"'https://www.formula1.com/en/results.html/2022/races/1138/abu-dhabi/race-result.html'";"'Max Verstappen VER'";"'Red Bull Racing RBPT'";58
